"","modl","CN_coupled","Veg_Demo","R_cveg_median","R_cveg_IQR","R_cveg_ag_median","R_cveg_ag_IQR","R_npp_median","R_npp_IQR","R_gpp_median","R_gpp_IQR","R_cleaf_median","R_cleaf_IQR","R_cveg_star_median","R_cveg_star_IQR","R_croot_median","R_croot_IQR","l_npp_gpp_median","l_npp_gpp_IQR","l_croot_cveg_median","l_croot_cveg_IQR","l_croot_cveg_star_median","l_croot_cveg_star_IQR","l_cveg_star_npp_median","l_cveg_star_npp_IQR","l_cleaf_cveg_median","l_cleaf_cveg_IQR"
"11","ISBA-CTRIP","No","No",0.232061726384765,0.091553324433587,0.208560879297995,0.101355340342998,0.390354164668582,0.209443364071447,0.387429656553672,0.191808941722298,0.126161527952522,0.0798953945326133,0.274905040745661,0.116988281024427,0.230412712601766,0.0933058432890695,0.984549147766662,0.111192411848089,0.95763431118172,0.323993230804033,0.811136039591306,0.338249371606498,0.727694033858225,0.455820565927813,0.55618274188109,0.301077578933509
"12","CABLE-POP","Yes","Yes",0.352245302629404,0.362327823886621,0.371886384487824,0.361811952863,0.277200421869784,0.310531108261421,0.30805349211822,0.248512011436261,0.2734080536884,0.267621836956799,0.392137693999675,0.428718811458553,0.35438773333149,0.368492443857388,0.996795435513805,0.398851942525447,1,0.0242135594736516,0.882895470333667,0.190510960074852,1.19543123233801,0.706980825544926,0.749338000286385,0.396602730012633
"13","CLM5.0","Yes","No",0.242683735330905,0.219142694120449,0.243813089369878,0.269175051313415,0.250043583167726,0.230235136114143,0.262168264063904,0.19819023687454,0.36330088034724,0.35438833877363,0.292447342114382,0.245516647429013,0.246446636746701,0.251261609764136,0.944856530024543,0.386220229740222,1.02162474663893,0.239291043379104,0.809458424373076,0.298345597865486,1.02118621563554,0.852006241091843,1.6098642935701,1.12107446392998
"14","DLEM","Yes","No",0.272835788853899,0.164892417265811,NA,NA,0.281312213993748,0.16046362895984,0.283149323652745,0.173617832013233,NA,NA,0.299668946386386,0.174587157429962,NA,NA,0.982029889429205,0.0909430316738054,NA,NA,NA,NA,1.07901630807701,0.276609275028006,NA,NA
"15","ISAM","Yes","No",0.242276770816691,0.182337336746209,NA,NA,0.308256880186489,0.170315484312862,0.304234034985283,0.142140968488539,NA,NA,0.29146535402006,0.177865603997431,0.30239972326007,0.161494684789157,1.01660323189069,0.112777480153666,1.19046515421381,0.263137992129226,1.02701521990149,0.281136019156513,0.94325845990544,0.301274608005584,NA,NA
"16","JSBACH","Yes","No",0.345289973411219,0.357236367532736,NA,NA,0.371669375760347,0.396923741953454,0.291182250607649,0.22643396586508,NA,NA,0.384136374412152,0.372911903428414,NA,NA,1.2967533901518,0.408045035566389,NA,NA,NA,NA,0.917119305785356,0.988467999834042,NA,NA
"17","JULES","Yes","No",0.154277366414487,0.262206789133989,0.161025377819753,0.267520441889613,0.255006200288145,0.234189610399274,0.24770181364559,0.277921937434039,0.100553757563299,0.19387947036908,0.168427135668128,0.27402399673672,0.100553735606001,0.193879409537188,0.982091342705641,0.348720164561167,0.751493143948404,0.43417260865959,0.685193652095511,0.489625820128027,0.599948381966888,0.585500973185813,0.751492885141581,0.434172860076386
"18","LPJ-GUESS","Yes","Yes",0.230970417086724,0.348864876168167,0.239032227119391,0.430149804384966,0.238929271170554,0.268924860154953,0.233544280845444,0.256529271443739,0.17771653926931,0.239029082365236,0.239504877313595,0.360361471087862,NA,NA,1.0601465944983,0.298333576344745,NA,NA,NA,NA,0.985617430983608,1.19083452268416,0.692775834014596,0.78331677024881
"19","LPX-Bern","Yes","No",0.0959957278744858,0.160103647400732,0.0947120717181365,0.168330182565843,0.176911915423263,0.158454322733635,0.204365909212312,0.137882276502921,0.135013947163826,0.16524088918723,0.110114572056227,0.171625487407639,0.115745310709999,0.143233397744311,0.913195283806425,0.297581721004715,1.02594041676507,1.04620187401926,0.989937130648598,0.991034511861272,0.614108103931964,0.712676513217759,1.18107780060537,1.20770229215926
"20","VISIT-NIES","No","No",0.214672918932839,0.290518857578028,0.200630666936485,0.277950618956472,0.253023497943423,0.341820469385078,0.236441007511842,0.306662698785497,0.185196602683009,0.262056736278121,0.243090283466568,0.346337863607491,0.269889560356846,0.376902300402454,1.05521203690597,0.119127921491467,1.16787448136303,0.423539836758645,1.04920914794709,0.388805533626326,0.90852404809587,0.489808755988358,0.940890619087732,0.616608418316428
"21","SDGVM","Yes","Yes",0.170797971139826,0.07553313457862,NA,NA,0.123461096441926,0.0573359287854711,0.127365635790223,0.0715772122295553,NA,NA,0.192494583686163,0.0804177572938246,0.171756018602167,0.082288421680293,1.00544690561148,0.215730503045881,0.995575687583788,0.0754686314196823,0.879820677834341,0.269416526590516,1.53729537814635,0.573418212680304,NA,NA
